Load_Case,Time_Stamp
LC1,2008-11-12 12:48:15.701
LC1,2008-11-12 13:09:34.701
LC2a,2008-11-12 13:46:30.701
LC2a,2008-11-12 13:56:01.701
LC2a,2008-11-12 14:12:16.701
LC2a,2008-11-12 14:29:34.701
LC2b,2008-11-12 15:06:11.701
LC2b,2008-11-12 15:26:42.701
LC2b,2008-11-12 15:49:09.701
LC2b,2008-11-12 16:10:37.701
LC3a,2008-11-13 13:20:05.340
LC3a,2008-11-13 13:27:59.340
LC3a,2008-11-13 13:36:31.340
LC3a,2008-11-13 13:43:45.340
LC3a,2008-11-13 13:51:07.340
LC3a,2008-11-13 13:57:55.340
LC3b,2008-11-13 14:34:02.340
LC3b,2008-11-13 14:44:37.340
LC3b,2008-11-13 14:53:52.340
LC3b,2008-11-13 15:04:56.340
LC3b,2008-11-13 15:19:53.340
LC3b,2008-11-13 15:32:48.340
LC3b,2008-11-13 15:43:27.340
LC3b,2008-11-13 15:55:15.340
LC3b,2008-11-13 16:06:34.340
LC3b,2008-11-13 16:17:40.340
LC3b,2008-11-14 09:27:54.052
LC3b,2008-11-14 09:39:52.052
LC3b,2008-11-14 09:53:12.052
LC3b,2008-11-14 10:07:57.052
LC3b,2008-11-14 10:17:44.052
LC3b,2008-11-14 10:27:37.052
LC3c,2008-11-14 10:57:19.052
LC3c,2008-11-14 11:31:17.052
LC3c,2008-11-14 11:59:02.052
LC3c,2008-11-14 13:10:33.052
LC3c,2008-11-14 13:33:10.052
LC3c,2008-11-14 14:00:48.052
LC3c,2008-11-14 14:47:19.052
LC3c,2008-11-14 15:18:31.052
LC3c,2008-11-14 16:16:01.052
LC3c,2008-11-14 16:33:01.052
LC3c,2008-11-14 16:51:02.052
